assembly_name,assembly_category,assembly_description,component_material_id,component_quantity,component_quantity_type,component_description
"1/2"" EMT with 3-#12 THHN",Conduit & Wire,"Complete 1/2"" EMT with 3 #12 THHN conductors",emt_0_5,1,per_foot,"1/2"" EMT conduit"
"1/2"" EMT with 3-#12 THHN",Conduit & Wire,"Complete 1/2"" EMT with 3 #12 THHN conductors",thhn_12,3,per_foot,"#12 THHN wire"
"1/2"" EMT with 3-#12 THHN",Conduit & Wire,"Complete 1/2"" EMT with 3 #12 THHN conductors",grn_12,1,per_foot,"#12 Green ground wire"
"1/2"" EMT with 3-#12 THHN",Conduit & Wire,"Complete 1/2"" EMT with 3 #12 THHN conductors",emt_connector_0_5,0.2,per_foot,"Connectors (1 per 5ft)"
"1/2"" EMT with 3-#12 THHN",Conduit & Wire,"Complete 1/2"" EMT with 3 #12 THHN conductors",emt_strap1_0_5,0.33,per_foot,"Straps (1 per 3ft)"
"3/4"" EMT with 4-#12 THHN",Conduit & Wire,"Complete 3/4"" EMT with 4 #12 THHN conductors",emt_0_75,1,per_foot,"3/4"" EMT conduit"
"3/4"" EMT with 4-#12 THHN",Conduit & Wire,"Complete 3/4"" EMT with 4 #12 THHN conductors",thhn_12,4,per_foot,"#12 THHN wire"
"3/4"" EMT with 4-#12 THHN",Conduit & Wire,"Complete 3/4"" EMT with 4 #12 THHN conductors",grn_12,1,per_foot,"#12 Green ground wire"
"3/4"" EMT with 4-#12 THHN",Conduit & Wire,"Complete 3/4"" EMT with 4 #12 THHN conductors",emt_connector_0_75,0.2,per_foot,"Connectors (1 per 5ft)"
"3/4"" EMT with 4-#12 THHN",Conduit & Wire,"Complete 3/4"" EMT with 4 #12 THHN conductors",emt_strap1_0_75,0.33,per_foot,"Straps (1 per 3ft)"
"1"" EMT with 3-#10 THHN",Conduit & Wire,"Complete 1"" EMT with 3 #10 THHN conductors",emt_1,1,per_foot,"1"" EMT conduit"
"1"" EMT with 3-#10 THHN",Conduit & Wire,"Complete 1"" EMT with 3 #10 THHN conductors",thhn_10,3,per_foot,"#10 THHN wire"
"1"" EMT with 3-#10 THHN",Conduit & Wire,"Complete 1"" EMT with 3 #10 THHN conductors",grn_10,1,per_foot,"#10 Green ground wire"
"1"" EMT with 3-#10 THHN",Conduit & Wire,"Complete 1"" EMT with 3 #10 THHN conductors",emt_connector_1,0.2,per_foot,"Connectors (1 per 5ft)"
"1"" EMT with 3-#10 THHN",Conduit & Wire,"Complete 1"" EMT with 3 #10 THHN conductors",emt_strap1_1,0.33,per_foot,"Straps (1 per 3ft)"
"1"" EMT with 4-#8 THHN",Conduit & Wire,"Complete 1"" EMT with 4 #8 THHN conductors",emt_1,1,per_foot,"1"" EMT conduit"
"1"" EMT with 4-#8 THHN",Conduit & Wire,"Complete 1"" EMT with 4 #8 THHN conductors",thhn_8,4,per_foot,"#8 THHN wire"
"1"" EMT with 4-#8 THHN",Conduit & Wire,"Complete 1"" EMT with 4 #8 THHN conductors",grn_8,1,per_foot,"#8 Green ground wire"
