assembly_name,assembly_category,assembly_description,component_material_id,component_quantity,component_quantity_type,component_description
"1/2"" EMT with 3-#12 THHN",Conduit & Wire,"1/2"" EMT with 3 #12 THHN conductors (connectors/straps selectable)",emt_0_5,1,per_foot,"1/2"" EMT conduit"
"1/2"" EMT with 3-#12 THHN",Conduit & Wire,"1/2"" EMT with 3 #12 THHN conductors (connectors/straps selectable)",thhn_12,3,per_foot,"#12 THHN wire"
"3/4"" EMT with 4-#12 THHN",Conduit & Wire,"3/4"" EMT with 4 #12 THHN conductors (connectors/straps selectable)",emt_0_75,1,per_foot,"3/4"" EMT conduit"
"3/4"" EMT with 4-#12 THHN",Conduit & Wire,"3/4"" EMT with 4 #12 THHN conductors (connectors/straps selectable)",thhn_12,4,per_foot,"#12 THHN wire"
"1"" EMT with 3-#10 THHN",Conduit & Wire,"1"" EMT with 3 #10 THHN conductors (connectors/straps selectable)",emt_1,1,per_foot,"1"" EMT conduit"
"1"" EMT with 3-#10 THHN",Conduit & Wire,"1"" EMT with 3 #10 THHN conductors (connectors/straps selectable)",thhn_10,3,per_foot,"#10 THHN wire"
"1"" EMT with 4-#8 THHN",Conduit & Wire,"1"" EMT with 4 #8 THHN conductors (connectors/straps selectable)",emt_1,1,per_foot,"1"" EMT conduit"
"1"" EMT with 4-#8 THHN",Conduit & Wire,"1"" EMT with 4 #8 THHN conductors (connectors/straps selectable)",thhn_8,4,per_foot,"#8 THHN wire"
"1-1/4"" EMT with 3-#6 THHN",Conduit & Wire,"1-1/4"" EMT with 3 #6 THHN conductors (connectors/straps selectable)",emt_1_25,1,per_foot,"1-1/4"" EMT conduit"
"1-1/4"" EMT with 3-#6 THHN",Conduit & Wire,"1-1/4"" EMT with 3 #6 THHN conductors (connectors/straps selectable)",thhn_6,3,per_foot,"#6 THHN wire"
"1-1/2"" EMT with 4-#6 THHN",Conduit & Wire,"1-1/2"" EMT with 4 #6 THHN conductors (connectors/straps selectable)",emt_1_5,1,per_foot,"1-1/2"" EMT conduit"
"1-1/2"" EMT with 4-#6 THHN",Conduit & Wire,"1-1/2"" EMT with 4 #6 THHN conductors (connectors/straps selectable)",thhn_6,4,per_foot,"#6 THHN wire"
"2"" EMT with 3-#2 THHN",Conduit & Wire,"2"" EMT with 3 #2 THHN conductors (connectors/straps selectable)",emt_2,1,per_foot,"2"" EMT conduit"
"2"" EMT with 3-#2 THHN",Conduit & Wire,"2"" EMT with 3 #2 THHN conductors (connectors/straps selectable)",thhn_2,3,per_foot,"#2 THHN wire"
"2"" EMT with 4-#1 THHN",Conduit & Wire,"2"" EMT with 4 #1 THHN conductors (connectors/straps selectable)",emt_2,1,per_foot,"2"" EMT conduit"
"2"" EMT with 4-#1 THHN",Conduit & Wire,"2"" EMT with 4 #1 THHN conductors (connectors/straps selectable)",thhn_1,4,per_foot,"#1 THHN wire"
"2-1/2"" EMT with 3-#1/0 THHN",Conduit & Wire,"2-1/2"" EMT with 3 1/0 THHN conductors (connectors/straps selectable)",emt_2_5,1,per_foot,"2-1/2"" EMT conduit"
"2-1/2"" EMT with 3-#1/0 THHN",Conduit & Wire,"2-1/2"" EMT with 3 1/0 THHN conductors (connectors/straps selectable)",thhn_1_0,3,per_foot,"1/0 THHN wire"
"3"" EMT with 4-#2/0 THHN",Conduit & Wire,"3"" EMT with 4 2/0 THHN conductors (connectors/straps selectable)",emt_3,1,per_foot,"3"" EMT conduit"
"3"" EMT with 4-#2/0 THHN",Conduit & Wire,"3"" EMT with 4 2/0 THHN conductors (connectors/straps selectable)",thhn_2_0,4,per_foot,"2/0 THHN wire"
