assembly_name,assembly_category,assembly_description,component_material_id,component_quantity,component_quantity_type,component_description
"3/4"" EMT Conduit Run",Conduit,"Complete 3/4"" EMT conduit with connectors",emt_conduit_3_4,1,per_foot,"3/4"" EMT conduit"
"3/4"" EMT Conduit Run",Conduit,"Complete 3/4"" EMT conduit with connectors",emt_connector_3_4,0.2,per_foot,"Set screw connectors (1 per 5ft)"
"3/4"" EMT Conduit Run",Conduit,"Complete 3/4"" EMT conduit with connectors",emt_strap_3_4,0.33,per_foot,"One hole straps (1 per 3ft)"
"1"" EMT LB Body Assembly",Fittings,"Complete 1"" LB body with connectors",emt_lb_1,1,fixed,"1"" LB body"
"1"" EMT LB Body Assembly",Fittings,"Complete 1"" LB body with connectors",emt_connector_1,2,fixed,"Set screw connectors"
"1"" EMT LB Body Assembly",Fittings,"Complete 1"" LB body with connectors",lb_gasket_1,1,fixed,"LB gasket"
"2"" EMT 90° Elbow Assembly",Fittings,"Complete 2"" 90° elbow with coupling",emt_90_2,1,fixed,"2"" 90° elbow"
"2"" EMT 90° Elbow Assembly",Fittings,"Complete 2"" 90° elbow with coupling",emt_coupling_2,1,fixed,"Set screw coupling"
"4"" Square Box with Devices",Boxes,"4"" square box with cover and device",box_4sq_deep,1,fixed,"4"" square deep box"
"4"" Square Box with Devices",Boxes,"4"" square box with cover and device",box_4sq_cover,1,fixed,"Single device cover"
"4"" Square Box with Devices",Boxes,"4"" square box with cover and device",device_bracket,1,fixed,"Device mounting bracket"
"4"" Square Box with Devices",Boxes,"4"" square box with cover and device",box_screw,4,fixed,"Box mounting screws"
"20A Receptacle Complete",Devices,"Complete 20A receptacle with wire",receptacle_20a_duplex,1,fixed,"20A duplex receptacle"
"20A Receptacle Complete",Devices,"Complete 20A receptacle with wire",wire_12_2_nm,6,fixed,"12/2 NM-B wire (6ft pigtail)"
"20A Receptacle Complete",Devices,"Complete 20A receptacle with wire",wire_nut_red,3,fixed,"Red wire nuts"
"Lighting Circuit - 12/2",Circuits,"Complete lighting circuit with wire and devices",wire_12_2_nm,1,per_foot,"12/2 NM-B wire"
"Lighting Circuit - 12/2",Circuits,"Complete lighting circuit with wire and devices",switch_single_pole,0.1,per_foot,"Single pole switches (1 per 10ft avg)"
"Lighting Circuit - 12/2",Circuits,"Complete lighting circuit with wire and devices",box_single_gang,0.1,per_foot,"Single gang boxes (1 per 10ft avg)"
