assembly_name,assembly_category,assembly_description,component_material_id,component_quantity,component_quantity_type,component_description
"3/4"" EMT with 3-#12 THHN","CONDUIT/WIRE - EMT","3/4"" EMT conduit with 3 #12 THHN wires (Black, White, Green)",REPLACE_WITH_3_4_EMT_ID,1,per_foot,"3/4"" EMT Conduit"
"3/4"" EMT with 3-#12 THHN","CONDUIT/WIRE - EMT","3/4"" EMT conduit with 3 #12 THHN wires (Black, White, Green)",REPLACE_WITH_12_BLACK_ID,1,per_foot,"#12 THHN Wire (Black)"
"3/4"" EMT with 3-#12 THHN","CONDUIT/WIRE - EMT","3/4"" EMT conduit with 3 #12 THHN wires (Black, White, Green)",REPLACE_WITH_12_WHITE_ID,1,per_foot,"#12 THHN Wire (White)"
"3/4"" EMT with 3-#12 THHN","CONDUIT/WIRE - EMT","3/4"" EMT conduit with 3 #12 THHN wires (Black, White, Green)",REPLACE_WITH_12_GREEN_ID,1,per_foot,"#12 THHN Wire (Green)"
"1"" EMT with 4-#12 THHN","CONDUIT/WIRE - EMT","1"" EMT conduit with 4 #12 THHN wires",REPLACE_WITH_1_EMT_ID,1,per_foot,"1"" EMT Conduit"
"1"" EMT with 4-#12 THHN","CONDUIT/WIRE - EMT","1"" EMT conduit with 4 #12 THHN wires",REPLACE_WITH_12_BLACK_ID,1,per_foot,"#12 THHN Wire (Black)"
"1"" EMT with 4-#12 THHN","CONDUIT/WIRE - EMT","1"" EMT conduit with 4 #12 THHN wires",REPLACE_WITH_12_WHITE_ID,1,per_foot,"#12 THHN Wire (White)"
"1"" EMT with 4-#12 THHN","CONDUIT/WIRE - EMT","1"" EMT conduit with 4 #12 THHN wires",REPLACE_WITH_12_RED_ID,1,per_foot,"#12 THHN Wire (Red)"
"1"" EMT with 4-#12 THHN","CONDUIT/WIRE - EMT","1"" EMT conduit with 4 #12 THHN wires",REPLACE_WITH_12_GREEN_ID,1,per_foot,"#12 THHN Wire (Green)"
"1-1/4"" EMT with 6-#10 THHN","CONDUIT/WIRE - EMT","1-1/4"" EMT conduit with 6 #10 THHN wires",REPLACE_WITH_1_25_EMT_ID,1,per_foot,"1-1/4"" EMT Conduit"
"1-1/4"" EMT with 6-#10 THHN","CONDUIT/WIRE - EMT","1-1/4"" EMT conduit with 6 #10 THHN wires",REPLACE_WITH_10_BLACK_ID,2,per_foot,"#10 THHN Wire (Black) x2"
"1-1/4"" EMT with 6-#10 THHN","CONDUIT/WIRE - EMT","1-1/4"" EMT conduit with 6 #10 THHN wires",REPLACE_WITH_10_RED_ID,2,per_foot,"#10 THHN Wire (Red) x2"
"1-1/4"" EMT with 6-#10 THHN","CONDUIT/WIRE - EMT","1-1/4"" EMT conduit with 6 #10 THHN wires",REPLACE_WITH_10_WHITE_ID,1,per_foot,"#10 THHN Wire (White)"
"1-1/4"" EMT with 6-#10 THHN","CONDUIT/WIRE - EMT","1-1/4"" EMT conduit with 6 #10 THHN wires",REPLACE_WITH_10_GREEN_ID,1,per_foot,"#10 THHN Wire (Green)"
"3/4"" Rigid with 3-#12 THHN","CONDUIT/WIRE - RIGID","3/4"" Rigid conduit with 3 #12 THHN wires",REPLACE_WITH_3_4_RIGID_ID,1,per_foot,"3/4"" Rigid Conduit"
"3/4"" Rigid with 3-#12 THHN","CONDUIT/WIRE - RIGID","3/4"" Rigid conduit with 3 #12 THHN wires",REPLACE_WITH_12_BLACK_ID,1,per_foot,"#12 THHN Wire (Black)"
"3/4"" Rigid with 3-#12 THHN","CONDUIT/WIRE - RIGID","3/4"" Rigid conduit with 3 #12 THHN wires",REPLACE_WITH_12_WHITE_ID,1,per_foot,"#12 THHN Wire (White)"
"3/4"" Rigid with 3-#12 THHN","CONDUIT/WIRE - RIGID","3/4"" Rigid conduit with 3 #12 THHN wires",REPLACE_WITH_12_GREEN_ID,1,per_foot,"#12 THHN Wire (Green)"
"1"" Rigid with 4-#12 THHN","CONDUIT/WIRE - RIGID","1"" Rigid conduit with 4 #12 THHN wires",REPLACE_WITH_1_RIGID_ID,1,per_foot,"1"" Rigid Conduit"
"1"" Rigid with 4-#12 THHN","CONDUIT/WIRE - RIGID","1"" Rigid conduit with 4 #12 THHN wires",REPLACE_WITH_12_BLACK_ID,1,per_foot,"#12 THHN Wire (Black)"
"1"" Rigid with 4-#12 THHN","CONDUIT/WIRE - RIGID","1"" Rigid conduit with 4 #12 THHN wires",REPLACE_WITH_12_WHITE_ID,1,per_foot,"#12 THHN Wire (White)"
"1"" Rigid with 4-#12 THHN","CONDUIT/WIRE - RIGID","1"" Rigid conduit with 4 #12 THHN wires",REPLACE_WITH_12_RED_ID,1,per_foot,"#12 THHN Wire (Red)"
"1"" Rigid with 4-#12 THHN","CONDUIT/WIRE - RIGID","1"" Rigid conduit with 4 #12 THHN wires",REPLACE_WITH_12_GREEN_ID,1,per_foot,"#12 THHN Wire (Green)"
"1-1/2"" Rigid with 6-#10 THHN","CONDUIT/WIRE - RIGID","1-1/2"" Rigid conduit with 6 #10 THHN wires",REPLACE_WITH_1_5_RIGID_ID,1,per_foot,"1-1/2"" Rigid Conduit"
"1-1/2"" Rigid with 6-#10 THHN","CONDUIT/WIRE - RIGID","1-1/2"" Rigid conduit with 6 #10 THHN wires",REPLACE_WITH_10_BLACK_ID,2,per_foot,"#10 THHN Wire (Black) x2"
"1-1/2"" Rigid with 6-#10 THHN","CONDUIT/WIRE - RIGID","1-1/2"" Rigid conduit with 6 #10 THHN wires",REPLACE_WITH_10_RED_ID,2,per_foot,"#10 THHN Wire (Red) x2"
"1-1/2"" Rigid with 6-#10 THHN","CONDUIT/WIRE - RIGID","1-1/2"" Rigid conduit with 6 #10 THHN wires",REPLACE_WITH_10_WHITE_ID,1,per_foot,"#10 THHN Wire (White)"
"1-1/2"" Rigid with 6-#10 THHN","CONDUIT/WIRE - RIGID","1-1/2"" Rigid conduit with 6 #10 THHN wires",REPLACE_WITH_10_GREEN_ID,1,per_foot,"#10 THHN Wire (Green)"
"3/4"" PVC with 3-#12 THWN","CONDUIT/WIRE - PVC","3/4"" PVC conduit with 3 #12 THWN wires (underground)",REPLACE_WITH_3_4_PVC_ID,1,per_foot,"3/4"" PVC Conduit"
"3/4"" PVC with 3-#12 THWN","CONDUIT/WIRE - PVC","3/4"" PVC conduit with 3 #12 THWN wires (underground)",REPLACE_WITH_12_THWN_BLACK_ID,1,per_foot,"#12 THWN Wire (Black)"
"3/4"" PVC with 3-#12 THWN","CONDUIT/WIRE - PVC","3/4"" PVC conduit with 3 #12 THWN wires (underground)",REPLACE_WITH_12_THWN_WHITE_ID,1,per_foot,"#12 THWN Wire (White)"
"3/4"" PVC with 3-#12 THWN","CONDUIT/WIRE - PVC","3/4"" PVC conduit with 3 #12 THWN wires (underground)",REPLACE_WITH_12_THWN_GREEN_ID,1,per_foot,"#12 THWN Wire (Green)"
"2"" PVC with 8-#10 THWN","CONDUIT/WIRE - PVC","2"" PVC conduit with 8 #10 THWN wires (underground)",REPLACE_WITH_2_PVC_ID,1,per_foot,"2"" PVC Conduit"
"2"" PVC with 8-#10 THWN","CONDUIT/WIRE - PVC","2"" PVC conduit with 8 #10 THWN wires (underground)",REPLACE_WITH_10_THWN_BLACK_ID,3,per_foot,"#10 THWN Wire (Black) x3"
"2"" PVC with 8-#10 THWN","CONDUIT/WIRE - PVC","2"" PVC conduit with 8 #10 THWN wires (underground)",REPLACE_WITH_10_THWN_RED_ID,3,per_foot,"#10 THWN Wire (Red) x3"
"2"" PVC with 8-#10 THWN","CONDUIT/WIRE - PVC","2"" PVC conduit with 8 #10 THWN wires (underground)",REPLACE_WITH_10_THWN_WHITE_ID,1,per_foot,"#10 THWN Wire (White)"
"2"" PVC with 8-#10 THWN","CONDUIT/WIRE - PVC","2"" PVC conduit with 8 #10 THWN wires (underground)",REPLACE_WITH_10_THWN_GREEN_ID,1,per_foot,"#10 THWN Wire (Green)"
"2"" EMT with 12-#10 THHN","CONDUIT/WIRE - EMT","2"" EMT conduit with 12 #10 THHN wires (large feeder)",REPLACE_WITH_2_EMT_ID,1,per_foot,"2"" EMT Conduit"
"2"" EMT with 12-#10 THHN","CONDUIT/WIRE - EMT","2"" EMT conduit with 12 #10 THHN wires (large feeder)",REPLACE_WITH_10_BLACK_ID,4,per_foot,"#10 THHN Wire (Black) x4"
"2"" EMT with 12-#10 THHN","CONDUIT/WIRE - EMT","2"" EMT conduit with 12 #10 THHN wires (large feeder)",REPLACE_WITH_10_RED_ID,4,per_foot,"#10 THHN Wire (Red) x4"
"2"" EMT with 12-#10 THHN","CONDUIT/WIRE - EMT","2"" EMT conduit with 12 #10 THHN wires (large feeder)",REPLACE_WITH_10_BLUE_ID,2,per_foot,"#10 THHN Wire (Blue) x2"
"2"" EMT with 12-#10 THHN","CONDUIT/WIRE - EMT","2"" EMT conduit with 12 #10 THHN wires (large feeder)",REPLACE_WITH_10_WHITE_ID,1,per_foot,"#10 THHN Wire (White)"
"2"" EMT with 12-#10 THHN","CONDUIT/WIRE - EMT","2"" EMT conduit with 12 #10 THHN wires (large feeder)",REPLACE_WITH_10_GREEN_ID,1,per_foot,"#10 THHN Wire (Green)"
